MalePatients,FemalePatients,ColonCancerPatients,ThroatCancerPatients,SkinCancerPatients,CancerConditions
153,422,30,1,,Remission
389,226,6,2,43,Stable
303,,16,22,22,Remission
276,,18,25,45,Progressing
161,71,38,46,26,Stable
148,318,2,6,41,Progressing
202,461,29,35,8,Stable
398,210,34,,43,Stable
451,156,28,32,2,Remission
433,,49,48,12,Progressing
415,402,,35,5,Remission
387,284,34,3,37,Stable
243,67,27,22,20,Progressing
359,291,29,24,18,Progressing
212,166,,40,,Stable
257,335,6,25,38,Remission
494,331,38,27,3,Stable
218,193,,,21,Progressing
,254,4,20,4,Progressing
117,88,34,9,0,Progressing
338,466,49,26,,Stable
447,203,46,14,16,Progressing
,225,13,16,8,Progressing
,498,35,38,8,Remission
,,,34,23,Remission
433,471,23,4,9,Progressing
,435,39,15,19,Remission
184,418,28,22,16,Stable
244,183,44,38,,Remission
450,95,21,47,28,Remission
,99,,8,35,Remission
82,215,,32,22,Remission
225,155,48,34,26,Stable
492,265,4,39,17,Remission
420,195,,49,17,Progressing
424,460,10,23,8,Remission
71,474,17,23,2,Remission
287,121,41,49,6,Progressing
207,379,48,23,,Stable
87,322,29,18,29,Progressing
279,296,14,38,8,Progressing
414,495,5,24,40,Progressing
100,,15,30,,Progressing
487,235,46,37,35,Remission
313,119,39,24,17,Remission
332,199,8,26,30,Remission
76,295,42,31,16,Remission
,311,33,,5,Stable
326,75,26,4,38,Remission
335,472,,43,24,Remission
146,189,35,32,41,Stable
333,148,26,18,41,Progressing
416,447,8,,37,Remission
497,327,4,46,37,Remission
366,100,,15,30,Progressing
353,200,30,34,28,Remission
196,481,2,10,39,Progressing
53,153,29,10,8,Progressing
84,483,20,9,0,Progressing
241,138,34,33,15,Remission
,190,5,4,37,Progressing
,262,27,22,22,Remission
221,282,31,24,7,Stable
269,443,41,28,46,Progressing
207,232,,39,11,Remission
95,300,24,12,9,Progressing
422,,31,46,15,Remission
55,128,34,31,46,Remission
148,101,21,33,42,Stable
429,435,23,,23,Progressing
282,458,38,23,38,Remission
,318,,39,7,Stable
329,275,49,20,10,Remission
398,100,31,28,40,Remission
351,235,30,22,25,Stable
230,83,22,32,6,Progressing
,340,39,7,14,Stable
148,279,32,41,14,Progressing
237,180,24,12,47,Remission
165,,35,4,2,Remission
240,492,,40,15,Stable
302,375,30,9,14,Stable
465,296,38,13,24,Stable
210,481,45,23,32,Remission
305,241,12,10,13,Progressing
,452,9,45,23,Stable
,372,22,2,10,Progressing
67,259,17,28,2,Stable
330,152,31,47,,Stable
272,378,32,29,5,Stable
,421,35,48,30,Stable
107,182,27,36,15,Remission
372,372,15,6,10,Remission
409,188,15,16,49,Stable
223,170,17,19,16,Remission
329,143,7,10,48,Remission
163,,41,43,2,Remission
337,140,15,24,18,Remission
480,141,10,23,23,Progressing
391,112,,1,46,Progressing
200,78,0,26,41,Remission
499,259,11,18,7,Progressing
,61,37,28,48,Stable
204,,27,,,Progressing
435,346,44,10,,Stable
322,179,16,,1,Progressing
153,,0,27,22,Progressing
466,222,31,38,39,Stable
442,257,7,20,29,Stable
348,481,,25,24,Remission
295,73,42,21,6,Progressing
225,148,45,5,27,Stable
88,455,23,10,,Remission
219,405,9,13,49,Stable
296,188,,35,16,Remission
75,363,38,39,31,Remission
404,223,38,40,0,Stable
355,78,9,,,Stable
458,468,35,42,43,Progressing
,192,24,19,35,Progressing
62,365,49,21,48,Remission
365,400,,38,6,Stable
440,91,,3,2,Progressing
362,348,45,28,,Remission
,257,44,45,,Progressing
222,379,14,23,33,Remission
,482,15,0,37,Progressing
370,241,1,23,42,Stable
,209,28,29,35,Remission
449,,3,11,32,Remission
191,292,49,18,42,Progressing
420,307,28,36,15,Progressing
192,201,30,39,37,Progressing
141,264,16,42,,Stable
403,371,,3,7,Progressing
371,215,26,14,0,Progressing
337,,40,19,13,Stable
264,420,14,43,29,Progressing
496,281,43,19,20,Stable
391,,30,20,20,Stable
100,78,20,,33,Progressing
,244,40,29,37,Stable
235,383,,23,25,Progressing
112,305,44,47,40,Stable
239,330,25,39,13,Remission
174,353,,39,39,Progressing
,,35,37,34,Remission
363,486,16,2,41,Remission
107,,2,28,17,Remission
391,395,13,7,,Remission
,,48,28,8,Progressing
229,442,12,9,40,Stable
219,343,40,4,44,Progressing
375,136,26,10,32,Progressing
320,198,0,3,48,Stable
103,298,16,48,3,Remission
493,370,47,34,3,Stable
150,454,49,49,47,Remission
313,332,33,39,15,Progressing
102,411,13,11,,Stable
109,428,,20,25,Stable
157,247,2,15,5,Remission
54,93,33,13,36,Stable
152,,39,,,Progressing
245,77,24,47,41,Stable
311,478,1,26,38,Stable
414,66,33,35,6,Progressing
421,176,25,0,41,Remission
,428,30,0,29,Stable
96,217,8,21,9,Remission
404,293,29,14,14,Stable
360,436,19,19,5,Progressing
473,125,20,,,Remission
357,280,28,13,1,Stable
193,253,24,8,39,Remission
318,499,37,,14,Stable
419,,43,39,20,Progressing
173,351,24,33,17,Progressing
155,263,8,,4,Stable
207,264,38,32,24,Stable
196,207,43,42,35,Remission
194,118,25,36,9,Stable
169,442,36,1,45,Remission
368,,15,26,22,Stable
324,316,,44,23,Progressing
141,118,11,16,44,Remission
107,148,23,48,,Remission
488,396,25,49,,Progressing
395,499,19,30,12,Remission
278,265,8,40,20,Progressing
166,464,22,5,31,Progressing
367,210,38,30,42,Progressing
328,472,28,2,14,Stable
176,143,30,39,1,Progressing
442,223,18,2,,Remission
445,214,19,32,16,Stable
178,164,22,12,19,Progressing
107,269,42,20,49,Progressing
171,493,26,36,5,Progressing
50,,29,15,,Remission
288,60,20,20,16,Stable
339,392,43,47,25,Stable
145,426,34,43,21,Stable
175,,48,12,8,Remission
167,,6,3,11,Progressing
97,76,21,,21,Stable
138,276,9,8,22,Progressing
286,51,22,47,36,Remission
422,408,14,32,13,Stable
,150,29,36,23,Remission
321,70,33,36,7,Stable
238,,12,,25,Stable
241,438,3,24,31,Progressing
496,229,17,40,27,Remission
118,478,22,28,31,Stable
327,390,32,39,21,Stable
398,,33,49,48,Remission
296,69,33,46,8,Progressing
125,304,35,35,2,Remission
203,366,34,14,24,Stable
193,87,16,44,38,Remission
484,197,27,17,11,Progressing
135,74,13,19,28,Progressing
234,435,33,4,2,Progressing
334,170,47,,40,Progressing
269,,10,39,,Progressing
118,75,12,0,22,Progressing
96,218,32,18,,Progressing
,372,1,22,17,Stable
287,274,,25,10,Remission
495,50,28,48,,Progressing
253,356,36,28,25,Remission
449,310,3,33,7,Remission
,62,,18,,Stable
481,452,25,47,17,Remission
,,27,,12,Remission
88,97,2,1,35,Progressing
149,458,19,26,,Progressing
338,362,9,5,39,Remission
303,420,17,38,43,Progressing
271,340,26,5,11,Stable
406,381,30,5,21,Remission
72,143,26,30,,Remission
,310,41,,39,Stable
59,,0,39,27,Stable
295,408,5,29,12,Stable
374,,10,20,32,Stable
149,,33,40,2,Remission
,224,38,43,33,Progressing
229,487,19,17,22,Progressing
272,,20,22,31,Progressing
443,429,20,,19,Progressing
299,358,17,22,27,Stable
196,464,20,27,7,Progressing
491,118,18,,,Progressing
145,153,3,24,29,Remission
306,295,,6,24,Remission
374,210,17,17,29,Progressing
53,249,28,19,28,Stable
65,265,24,,46,Progressing
329,483,12,17,29,Stable
385,261,26,41,33,Remission
296,65,18,39,24,Stable
307,421,,32,16,Progressing
433,381,0,14,23,Remission
209,,,34,37,Progressing
389,414,18,46,27,Progressing
201,88,0,45,,Stable
445,,39,0,35,Progressing
227,479,16,20,6,Progressing
212,305,20,,22,Remission
429,303,21,6,45,Stable
82,265,14,40,25,Stable
466,417,49,49,13,Remission
494,,38,,41,Remission
228,221,47,39,27,Stable
476,186,38,39,23,Remission
150,433,31,29,6,Stable
317,227,48,37,,Remission
372,126,3,34,35,Stable
114,237,43,1,38,Stable
466,64,44,45,14,Remission
217,341,31,7,48,Progressing
379,,3,37,2,Progressing
,374,0,3,47,Remission
,,32,36,1,Stable
334,257,6,,,Remission
446,218,8,12,15,Progressing
61,379,0,8,20,Stable
144,329,,44,8,Stable
351,354,17,28,11,Stable
,195,46,40,28,Progressing
302,312,5,23,23,Progressing
291,53,1,15,32,Stable
84,,8,11,13,Stable
264,,3,1,42,Progressing
386,360,44,18,17,Progressing
139,65,22,29,4,Stable
313,276,42,15,14,Remission
142,78,,23,6,Remission
459,,42,12,24,Remission
139,294,,4,13,Progressing
467,319,38,22,39,Remission
164,128,24,,,Remission
154,,15,30,34,Progressing
,338,34,16,43,Remission
245,202,16,48,49,Stable
363,326,17,48,23,Progressing
163,450,26,2,14,Stable
124,328,14,25,10,Remission
,106,16,12,23,Stable
425,235,42,,10,Progressing
469,447,4,,43,Remission
266,142,,21,16,Progressing
326,325,,20,5,Remission
,207,41,28,20,Progressing
213,324,45,44,7,Progressing
443,230,33,45,14,Stable
406,408,47,38,31,Progressing
457,489,18,4,9,Progressing
241,126,7,13,27,Stable
276,200,46,17,14,Remission
226,495,9,3,11,Remission
148,287,4,,42,Progressing
85,,47,38,17,Stable
,280,25,19,36,Remission
,67,,12,43,Stable
200,122,,35,23,Progressing
239,466,22,44,36,Stable
273,465,12,3,28,Progressing
86,238,8,34,9,Remission
317,,48,7,,Remission
418,66,19,39,15,Remission
232,68,27,48,36,Remission
62,268,43,46,10,Stable
328,375,36,35,25,Stable
266,169,23,,39,Stable
404,150,43,,18,Progressing
410,83,32,5,17,Remission
335,,19,41,,Remission
322,458,47,,31,Remission
418,245,,8,22,Stable
111,379,43,15,,Stable
133,251,8,38,12,Remission
417,393,44,45,20,Progressing
266,390,48,37,20,Stable
391,,16,32,28,Remission
446,396,35,17,28,Remission
236,449,13,11,49,Remission
,267,18,,26,Progressing
226,,6,46,28,Remission
149,302,2,0,14,Stable
445,,32,14,46,Progressing
494,432,43,46,11,Progressing
282,418,31,26,40,Remission
,,46,15,18,Stable
125,56,10,20,11,Stable
314,321,41,0,22,Remission
333,276,1,28,,Remission
255,65,25,2,,Stable
272,473,3,11,9,Progressing
433,61,16,27,21,Progressing
101,340,16,38,38,Remission
388,290,27,36,22,Remission
416,70,29,,10,Stable
193,227,39,30,27,Stable
422,476,22,32,30,Stable
118,277,45,32,7,Stable
148,,,46,38,Remission
445,337,28,39,47,Remission
74,346,3,10,27,Stable
,183,37,45,15,Remission
428,332,28,28,45,Remission
102,453,,,,Stable
200,202,26,12,30,Progressing
193,115,28,43,40,Progressing
106,186,35,18,47,Stable
88,141,34,35,15,Progressing
158,486,5,27,4,Remission
230,366,22,3,34,Progressing
91,471,38,2,24,Stable
235,308,45,37,12,Stable
472,152,43,36,28,Progressing
447,,,42,26,Progressing
272,,7,24,39,Remission
171,150,1,40,16,Progressing
182,,12,34,36,Progressing
212,350,39,28,37,Progressing
264,275,20,40,28,Remission
270,480,30,28,,Progressing
284,286,47,11,,Remission
380,75,35,34,,Remission
195,170,47,19,21,Stable
,447,37,16,45,Stable
125,231,26,11,24,Remission
58,248,35,49,3,Remission
123,351,47,35,,Remission
491,304,,9,40,Stable
450,171,20,17,49,Remission
302,80,12,29,43,Stable
279,364,36,7,8,Stable
56,334,46,40,25,Remission
223,155,25,12,26,Remission
190,273,39,30,26,Remission
217,322,6,5,,Stable
219,447,45,6,29,Progressing
442,281,38,,44,Remission
483,469,21,37,45,Progressing
332,305,38,42,30,Progressing
171,491,22,,41,Progressing
243,,29,27,2,Progressing
54,158,17,43,28,Progressing
78,240,41,20,6,Stable
214,396,17,20,17,Stable
471,,45,23,15,Stable
388,236,9,26,48,Progressing
185,337,38,,31,Stable
414,165,29,12,37,Remission
370,387,25,49,24,Progressing
391,415,6,28,43,Remission
194,451,6,38,31,Progressing
376,86,4,27,18,Progressing
266,331,0,36,2,Progressing
350,186,45,28,34,Progressing
181,276,17,47,49,Remission
,,12,21,28,Progressing
119,377,24,35,10,Progressing
301,453,39,29,5,Stable
464,231,7,,18,Progressing
,411,9,22,36,Progressing
494,135,31,32,44,Progressing
413,463,16,3,26,Progressing
231,102,37,2,4,Progressing
216,397,14,31,25,Progressing
140,404,14,3,34,Remission
251,284,47,0,18,Remission
,,39,,16,Progressing
68,316,19,,34,Remission
88,336,14,33,46,Stable
175,,,28,,Stable
222,149,5,8,12,Progressing
190,136,29,30,13,Progressing
291,,7,6,29,Remission
269,445,30,,47,Stable
175,64,47,1,42,Progressing
107,464,46,32,16,Stable
197,476,31,49,36,Remission
366,150,44,6,14,Progressing
432,,14,17,17,Progressing
410,78,17,7,47,Progressing
472,,,,13,Stable
50,156,23,42,13,Remission
436,459,39,29,44,Stable
397,413,13,8,32,Stable
239,179,,27,37,Progressing
240,133,,3,10,Remission
418,320,,38,,Remission
458,,24,16,,Progressing
361,,0,10,25,Remission
466,263,24,1,2,Progressing
471,355,1,22,24,Progressing
166,215,31,49,16,Remission
183,328,12,21,21,Remission
107,108,32,25,28,Remission
93,139,31,11,,Remission
222,420,23,31,25,Stable
209,380,26,8,33,Progressing
222,461,3,42,25,Progressing
366,243,23,,8,Progressing
352,,22,25,39,Progressing
198,185,28,6,10,Stable
129,462,33,,6,Remission
,,20,32,29,Remission
262,278,29,23,,Remission
252,323,25,24,29,Progressing
301,488,19,30,3,Stable
278,99,15,28,13,Stable
213,447,2,4,12,Remission
,167,,37,24,Progressing
196,251,36,44,12,Remission
69,442,39,10,12,Progressing
490,444,43,31,36,Remission
451,240,24,7,43,Remission
96,413,22,19,,Stable
282,372,43,33,25,Progressing
354,230,,46,,Stable
63,472,32,41,7,Stable
192,127,14,7,23,Remission
464,489,16,1,21,Progressing
50,,33,20,39,Progressing
422,124,16,14,38,Remission
103,344,40,5,48,Remission
423,,43,4,20,Remission
308,70,3,2,42,Progressing
193,443,12,42,25,Remission
490,220,3,42,9,Remission
61,,6,15,12,Stable
379,260,45,34,41,Remission
273,97,8,8,,Remission
321,135,22,34,8,Progressing
407,198,32,18,6,Remission
457,237,,42,38,Progressing
205,421,,45,30,Stable
422,355,3,33,49,Stable
57,200,0,38,15,Progressing
171,190,,9,7,Remission
397,118,33,,47,Progressing
213,,26,19,14,Remission
,383,,0,24,Remission
185,58,23,5,46,Remission
235,170,14,45,37,Progressing
365,420,34,1,40,Stable
227,468,24,37,14,Progressing
,150,8,32,24,Remission
269,198,16,2,6,Progressing
406,491,20,35,25,Stable
90,,12,12,7,Progressing
277,402,2,34,17,Stable
241,292,,14,,Stable
460,290,3,,15,Remission
496,386,,,46,Stable
,92,27,42,,Progressing
250,144,6,3,0,Progressing
466,275,25,16,12,Remission
261,55,10,4,31,Progressing
269,263,23,20,11,Remission
289,255,42,23,30,Progressing
462,116,,30,40,Progressing
446,445,36,39,1,Stable
95,149,12,29,40,Stable
84,61,43,41,7,Stable
302,,41,6,24,Progressing
439,371,38,,4,Remission
,307,18,6,44,Remission
420,448,18,26,1,Remission
305,456,11,23,,Stable
,462,,18,37,Progressing
352,386,46,40,38,Stable
458,184,36,33,2,Progressing
499,271,29,,45,Progressing
59,205,45,26,47,Progressing
361,,11,5,37,Stable
335,477,28,,21,Progressing
291,,20,44,39,Stable
300,465,10,30,32,Stable
414,375,,24,,Progressing
54,420,47,1,,Progressing
168,393,17,9,16,Progressing
338,311,43,9,17,Stable
423,,26,25,2,Progressing
114,387,36,4,5,Progressing
195,393,47,21,48,Remission
273,278,,3,,Remission
288,425,22,33,,Remission
,329,33,6,16,Progressing
,407,,49,20,Stable
390,339,22,16,15,Remission
331,217,24,10,16,Stable
112,96,3,49,31,Remission
266,252,29,7,0,Remission
391,263,29,27,47,Stable
364,295,12,43,37,Remission
332,73,41,32,7,Stable
226,370,48,24,0,Progressing
466,323,,20,1,Progressing
147,93,46,11,46,Stable
154,381,7,25,36,Stable
148,362,23,28,23,Progressing
434,412,17,37,26,Stable
,,34,34,,Progressing
360,429,24,36,46,Progressing
,248,16,45,20,Stable
246,456,31,43,41,Remission
400,211,23,44,36,Stable
182,444,6,,34,Progressing
,283,12,28,37,Remission
308,212,26,48,14,Remission
,165,47,23,49,Progressing
72,142,4,14,,Remission
102,91,35,5,41,Remission
,333,25,31,,Stable
251,428,41,43,3,Progressing
132,259,44,33,42,Remission
194,255,30,35,,Progressing
134,,,19,14,Stable
127,329,45,,22,Stable
415,,25,34,40,Stable
50,155,21,48,14,Remission
,167,11,37,25,Stable
222,286,,16,11,Progressing
254,358,26,26,17,Stable
309,,32,16,5,Remission
495,149,19,10,,Stable
498,310,38,38,49,Remission
418,354,40,1,23,Progressing
,403,39,1,37,Stable
83,335,12,28,27,Stable
397,377,13,,14,Progressing
144,,43,,18,Progressing
121,,39,23,4,Remission
88,,,15,3,Stable
203,,17,30,16,Stable
299,490,47,48,9,Stable
211,342,28,42,11,Stable
487,275,42,8,,Progressing
167,56,,,6,Stable
308,176,45,40,43,Stable
428,473,34,13,,Stable
355,141,33,44,1,Remission
317,472,,24,29,Remission
498,239,3,42,48,Remission
103,408,4,43,44,Progressing
285,102,9,21,36,Progressing
,291,28,34,4,Progressing
271,,31,,19,Stable
300,413,30,26,25,Stable
362,161,1,39,43,Progressing
,458,11,25,43,Remission
161,56,26,18,38,Stable
304,279,4,44,5,Remission
352,205,36,,28,Stable
456,246,26,44,9,Stable
256,372,22,,15,Remission
278,413,32,5,,Progressing
390,272,3,2,30,Remission
447,416,20,5,35,Progressing
115,299,23,,40,Progressing
124,453,43,2,4,Stable
484,132,30,,32,Stable
152,289,43,12,42,Stable
471,429,47,12,18,Progressing
241,444,,0,31,Progressing
301,409,,,,Remission
275,372,9,36,2,Stable
343,312,48,30,,Stable
355,456,48,16,35,Progressing
147,238,49,8,40,Stable
387,415,1,44,27,Progressing
335,339,30,12,47,Remission
384,411,24,36,38,Remission
396,452,3,13,4,Stable
484,107,10,10,12,Remission
496,,16,24,10,Stable
357,353,43,30,45,Stable
298,164,1,13,21,Progressing
215,259,5,6,48,Progressing
384,90,8,23,22,Stable
79,353,4,,11,Remission
296,,19,35,20,Remission
155,283,28,,18,Stable
100,330,,41,4,Stable
130,,8,46,23,Remission
,127,27,43,29,Remission
334,157,7,40,7,Progressing
,330,30,2,1,Progressing
,452,19,46,48,Remission
